USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
START,0001,14:06:10.161,,,,,,,,,,,,
URB,0002,14:13:08.566,418.376894 s,,Bulk or Interrupt Transfer,16 bytes data,01 00 A7 01 20 88 50 80...,out,01:00:01,85FFACF8h,,ACPI,85F4F268h,,01 00 A7 01 20 88 50 80 00 00 02 01 00 71 8A 00
URB,0003,14:13:08.566,418.376905 s,,Bulk or Interrupt Transfer,16 bytes data,01 00 A7 01 20 88 50 80...,out,01:00:01,860E66A8h,USBPDO-6,usbhub,85F4F268h,,01 00 A7 01 20 88 50 80 00 00 02 01 00 71 8A 00
URB,0004-0003,14:13:08.566,418.377158 s,253 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:01,860E66A8h,USBPDO-6,usbhub,85F4F268h,Success (Success)
URB,0005-0002,14:13:08.566,418.377162 s,268 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:01,85FFACF8h,,ACPI,85F4F268h,Success (Success)
URB,0006,14:13:08.675,418.485827 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:82,85FFACF8h,,ACPI,86147CB0h,
URB,0007,14:13:08.675,418.485837 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:82,860E66A8h,USBPDO-6,usbhub,86147CB0h,
URB,0008-0007,14:13:08.675,418.486112 s,275 us,Bulk or Interrupt Transfer,64 bytes data,01 55 00 00 D6 80 40 A7...,in,01:00:82,860E66A8h,USBPDO-6,usbhub,86147CB0h,Success (Success),01 55 00 00 D6 80 40 A7 01 20 88 50 52 0B 0B 36 07 D0 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0009-0006,14:13:08.675,418.486117 s,290 us,Bulk or Interrupt Transfer,64 bytes data,01 55 00 00 D6 80 40 A7...,in,01:00:82,85FFACF8h,,ACPI,86147CB0h,Success (Success),01 55 00 00 D6 80 40 A7 01 20 88 50 52 0B 0B 36 07 D0 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0010,14:13:08.706,418.517112 s,,Bulk or Interrupt Transfer,2 bytes data,03 00,out,01:00:01,85FFACF8h,,ACPI,85F4F268h,,03 00
URB,0011,14:13:08.706,418.517122 s,,Bulk or Interrupt Transfer,2 bytes data,03 00,out,01:00:01,860E66A8h,USBPDO-6,usbhub,85F4F268h,,03 00
URB,0012-0011,14:13:08.706,418.517413 s,291 us,Bulk or Interrupt Transfer,2 bytes buffer,,out,01:00:01,860E66A8h,USBPDO-6,usbhub,85F4F268h,Success (Success)
URB,0013-0010,14:13:08.706,418.517417 s,305 us,Bulk or Interrupt Transfer,2 bytes buffer,,out,01:00:01,85FFACF8h,,ACPI,85F4F268h,Success (Success)
URB,0014,14:13:08.818,418.628194 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:82,85FFACF8h,,ACPI,85FC0308h,
URB,0015,14:13:08.818,418.628203 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:82,860E66A8h,USBPDO-6,usbhub,85FC0308h,
URB,0016-0015,14:13:08.818,418.628524 s,321 us,Bulk or Interrupt Transfer,64 bytes data,01 55 00 00 02 01 00 4E...,in,01:00:82,860E66A8h,USBPDO-6,usbhub,85FC0308h,Success (Success),01 55 00 00 02 01 00 4E 05 04 00 50 52 0B 0B 36 07 D0 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0017-0014,14:13:08.818,418.628528 s,335 us,Bulk or Interrupt Transfer,64 bytes data,01 55 00 00 02 01 00 4E...,in,01:00:82,85FFACF8h,,ACPI,85FC0308h,Success (Success),01 55 00 00 02 01 00 4E 05 04 00 50 52 0B 0B 36 07 D0 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0018,14:13:08.818,418.628877 s,,Bulk or Interrupt Transfer,5 bytes data,0C 00 00 4E 95,out,01:00:01,85FFACF8h,,ACPI,86147CB0h,,0C 00 00 4E 95
URB,0019,14:13:08.818,418.628885 s,,Bulk or Interrupt Transfer,5 bytes data,0C 00 00 4E 95,out,01:00:01,860E66A8h,USBPDO-6,usbhub,86147CB0h,,0C 00 00 4E 95
URB,0020-0019,14:13:08.818,418.629144 s,260 us,Bulk or Interrupt Transfer,5 bytes buffer,,out,01:00:01,860E66A8h,USBPDO-6,usbhub,86147CB0h,Success (Success)
URB,0021-0018,14:13:08.818,418.629149 s,272 us,Bulk or Interrupt Transfer,5 bytes buffer,,out,01:00:01,85FFACF8h,,ACPI,86147CB0h,Success (Success)
URB,0022,14:13:08.818,418.629336 s,,Bulk or Interrupt Transfer,78 bytes buffer,,in,01:00:82,85FFACF8h,,ACPI,86147CB0h,
URB,0023,14:13:08.818,418.629343 s,,Bulk or Interrupt Transfer,78 bytes buffer,,in,01:00:82,860E66A8h,USBPDO-6,usbhub,86147CB0h,
URB,0024-0023,14:13:08.818,418.630895 s,1.552 ms,Bulk or Interrupt Transfer,78 bytes data,02 00 03 00 D5 80 40 A7...,in,01:00:82,860E66A8h,USBPDO-6,usbhub,86147CB0h,Success (Success),02 00 03 00 D5 80 40 A7 01 20 88 50 6E 32 30 38 38 35 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E3
URB,0025-0022,14:13:08.818,418.630900 s,1.564 ms,Bulk or Interrupt Transfer,78 bytes data,02 00 03 00 D5 80 40 A7...,in,01:00:82,85FFACF8h,,ACPI,86147CB0h,Success (Success),02 00 03 00 D5 80 40 A7 01 20 88 50 6E 32 30 38 38 35 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E3
URB,0026,14:13:08.818,418.631873 s,,Bulk or Interrupt Transfer,16 bytes data,01 00 A7 01 20 88 50 80...,out,01:00:01,85FFACF8h,,ACPI,86147CB0h,,01 00 A7 01 20 88 50 80 00 00 02 01 00 74 D0 00
URB,0027,14:13:08.818,418.631880 s,,Bulk or Interrupt Transfer,16 bytes data,01 00 A7 01 20 88 50 80...,out,01:00:01,860E66A8h,USBPDO-6,usbhub,86147CB0h,,01 00 A7 01 20 88 50 80 00 00 02 01 00 74 D0 00
URB,0028-0027,14:13:08.818,418.632145 s,264 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:01,860E66A8h,USBPDO-6,usbhub,86147CB0h,Success (Success)
