device	command	opcode	hex	ascii	description
MMPump511/	ReadProfiles_B	124	0x7c	('|')	partial
MMPump???/	CMD_?????	125	0x7d	('}')	??
MMPump???/	CMD_?????	126	0x7e	('~')	??
MMPump511/	ReadSettings	127	0x7f	DEL	partial
MMPump511/	ReadHistoryData	128	0x80	('\x80')	OK
MMPump11??/	CMD_?????	129	0x81	0x81	??
MMPump11??/	CMD_?????	130	0x82	0x82	??
MMPump511/	ReadPumpStatus	131	0x83	('\x83')	OK
MMPump11??/	CMD_?????	132	0x84	0x84	??
MMPump11??/	CMD_?????	133	0x85	0x85	??
MMPump511/	ReadPumpTrace	163	0xa3	('\xa3')	partial
MMPump511/	ReadDetailTrace	164	0xa4	('\xa4')	partial
MMPump11??/	CMD_????????????	165	0xa5	0xa5	??
MMPump511/	ReadNewTraceAlarm	166	0xa6	('\xa6')	partial
MMPump511/	ReadOldTraceAlarm	167	0xa7	('\xa7')	partial

MMPump512/	test_pump_is_512	col3	col4	col5	col6
MMPump512/	CMD_READ_LANGUAGE	134	0x86	('\x86')	partial
MMPump512/	CMD_READ_BOLUS_WIZARD_SETUP_STATUS	135	0x87	('\x87')	partial
MMPump512/	CMD_READ_CARB_UNITS	136	0x88	('\x88')	OK
MMPump512/	CMD_READ_BG_UNITS	137	0x89	('\x89')	partial
MMPump512/	CMD_READ_CARB_RATIOS	138	0x8a	('\x8a')	OK
MMPump512/	CMD_READ_INSULIN_SENSITIVITIES	139	0x8b	('\x8b')	OK
MMPump512/	CMD_READ_BG_TARGETS	140	0x8c	('\x8c')	partial
MMPump512/	CMD_READ_PUMP_MODEL_NUMBER	141	0x8d	('\x8d')	OK
MMPump512/	CMD_READ_BG_ALARM_CLOCKS	142	0x8e	('\x8e')	partial
MMPump512/	CMD_READ_RESERVOIR_WARNING	143	0x8f	('\x8f')	partial
MMPump512/	CMD_READ_BG_REMINDER_ENABLE	144	0x90	('\x90')	partial
MMPump512/	CMD_READ_SETTINGS	145	0x91	('\x91')	partial
MMPump512/	CMD_READ_STD_PROFILES	146	0x92	('\x92')	partial
MMPump512/	CMD_READ_A_PROFILES	147	0x93	('\x93')	partial
MMPump512/	CMD_READ_B_PROFILES	148	0x94	('\x94')	partial
MMPump512/	CMD_READ_LOGIC_LINK_IDS	149	0x95	('\x95')	partial
MMPump512??/	CMD_????????????????	150	0x96	('\x96')	experimental
MMPump512/	CMD_READ_BG_ALARM_ENABLE	151	0x97	('\x97')	partial
MMPump512/	CMD_READ_TEMP_BASAL	152	0x98	('\x98')	OK

MMGuardian3/	CMD_READ_SENSOR_SETTINGS	207	0xcf	('\xcf')	partial
MMGuardian3/	CMD_READ_SENSOR_PREDICTIVE_ALERTS	209	0xd1	('\xd1')	partial
MMGuardian3/	CMD_READ_SENSOR_DEMO_AND_GRAPH_TIMEOUT	210	0xd2	('\xd2')	partial
MMGuardian3/	CMD_READ_SENSOR_ALARM_SILENCE	211	0xd3	('\xd3')	partial
MMGuardian3/	CMD_READ_SENSOR_RATE_OF_CHANGE_ALERTS	212	0xd4	('\xd4')	partial

MMX15/	CMD_READ_CURRENT_HISTORY_PAGE_NUMBER	157	0x9d	('\x9d')	OK
MMX15/	CMD_READ_BG_TARGETS	159	0x9f	('\x9f')	OK
MMX15/	CMD_READ_SETTINGS	192	0xc0	('\xc0')	OK
MMX15/	CMD_READ_SAVED_SETTINGS_DATE	193	0xc1	('\xc1')	partial
MMX15/	CMD_READ_CONSTRAST	195	0xc3	('\xc3')	partial
MMX15/	CMD_READ_BOLUS_REMINDER_ENABLE	197	0xc5	('\xc5')	partial
MMX15/	CMD_READ_BOLUS_REMINDERS	198	0xc6	('\xc6')	partial
MMX15/	CMD_READ_FACTORY_PARAMETERS	199	0xc7	('\xc7')	partial
MMX15/	CMD_READ_CURRENT_PUMP_STATUS	206	0xce	('\xce')	OK

MMX22/	#production pump is a 522	#col3	#col4	col5	col6
MMX22/	CMD_WRITE_GLUCOSE_HISTORY_TIMESTAMP	40	0x28	('(')	partial
MMX22/	CMD_READ_SENSOR_SETTINGS	153	0x99	('\x99')	partial
MMX22/	CMD_READ_GLUCOSE_HISTORY	154	0x9a	('\x9a')	partial
MMX22/	CMD_READ_ISIG_HISTORY	155	0x9b	('\x9b')	partial
MMX22/	CMD_READ_CALIBRATION_FACTOR	156	0x9c	('\x9c')	partial
MMX22??/	CMD_??????	157	0x9c	('\x9c')	??
MMX22??/	CMD_??????	158	0x9d	('\x9d')	??
MMX22??/	CMD_??????	159	0x9e	('\x9e')	??
MMX11/	CMD_ENABLE_DISABLE_DETAIL_TRACE	160	0x9f	('\x9f')	??
MMX22??/	CMD_??????	161	0xa1	('\xa1')	??
MMX22??/	CMD_??????	162	0xa2	('\xa2')	??
MMX22??/	CMD_??????	163	0xa3	('\xa3')	??
MMX22??/	CMD_??????	164	0xa4	('\xa4')	??
MMX22??/	CMD_??????	165	0xa5	('\xa5')	??
MMX22??/	CMD_??????	166	0xa6	('\xa6')	??
MMX22??/	CMD_??????	167	0xa7	('\xa7')	??
MMX22??/	CMD_FILTER_BG	168	0xa8	('\xa8')	partial
MMX22??/	CMD_FILTER_ISIG	169	0xa9	('\xa9')	partial
MMX22??/	CMD_??????	170	0xaa	0xaa	??
MMX22??/	CMD_??????	171	0xab	0xab	??
MMX22??/	CMD_??????	172	0xac	0xac	??
MMX22??/	CMD_??????	173	0xad	0xad	??
MMX22??/	CMD_??????	174	0xae	0xae	??
MMX22??/	CMD_??????	175	0xaf	0xaf	??
MMX22??/	CMD_??????	176	0xb0	0xb0	??
MMX22??/	CMD_??????	177	0xb1	0xb1	??
MMX22??/	CMD_??????	178	0xb2	0xb2	??
MMX22??/	CMD_??????	179	0xb3	0xb3	??
MMX22??/	CMD_??????	180	0xb4	0xb4	??
MMX22??/	CMD_??????	181	0xb5	0xb5	??
MMX22??/	CMD_??????	182	0xb6	0xb6	??
MMX22??/	CMD_??????	183	0xb7	0xb7	??
MMX22??/	CMD_??????	184	0xb8	0xb8	??
MMX22??/	CMD_??????	185	0xb9	0xb9	??
MMX22??/	CMD_??????	186	0xba	0xba	??
MMX22??/	CMD_??????	187	0xbb	0xbb	??
MMX22??/	CMD_??????	188	0xbc	0xbc	??
MMX22??/	CMD_??????	189	0xbd	0xbd	??
MMX22??/	CMD_??????	190	0xbe	0xbe	??
MMX22??/	CMD_??????	191	0xbf	0xbf	??
MMX22??/	CMD_??????	193	0xc1	0xc1	??
MMX22??/	CMD_??????	194	0xc2	0xc2	??
MMX22??/	CMD_??????	195	0xc3	0xc3	??
MMX22??/	CMD_??????	196	0xc4	0xc4	??
MMX22??/	CMD_??????	197	0xc5	0xc5	??
MMX22??/	CMD_??????	198	0xc6	0xc6	??
MMX22??/	CMD_??????	199	0xc7	0xc7	??
MMX22??/	CMD_??????	200	0xc8	0xc8	??
MMX22??/	CMD_??????	201	0xc9	0xc9	??
MMX22??/	CMD_??????	202	0xca	0xca	??
MMX22??/	CMD_??????	203	0xcb	0xcb	??
MMX22??/	CMD_??????	204	0xcc	0xcc	??
MMX22/	CMD_READ_CURRENT_GLUCOSE_HISTORY_PAGE_NUMBER	205	0xcd	('\xcd')	OK
MMX22??/	CMD_??????	206	0xce	0xce	??
MMX22??/	CMD_??????	207	0xcf	0xcf	??

MMX23??/	CMD_??????	208	0xd0	0xd0	??
MMX23??/	CMD_??????	209	0xd1	0xd1	??
MMX23??/	CMD_??????	210	0xd2	0xd2	??
MMX23??/	CMD_??????	211	0xd3	0xd3	??
MMX23??/	CMD_??????	212	0xd4	0xd4	??

MMX23/	CMD_READ_VCNTR_HISTORY	213	0xd5	('\xd5')	partial
MMX??/	CMD_??????	214	0xd6	0xd6	??
MMX??/	CMD_??????	215	0xd7	0xd7	??
MMX??/	CMD_??????	216	0xd8	0xd8	??
MMX??/	CMD_??????	217	0xd9	0xd9	??
MMX??/	CMD_??????	218	0xda	0xda	??
MMX??/	CMD_??????	219	0xdb	0xdb	??
MMX??/	CMD_??????	220	0xdc	0xdc	??
MMX??/	CMD_??????	221	0xdd	0xdd	??
MMX??/	CMD_??????	222	0xde	0xde	??
MMX??/	CMD_??????	223	0xdf	0xdf	??
MMX??/	CMD_??????	224	0xe0	0xe0	??
MMX??/	CMD_??????	225	0xe1	0xe1	??
MMX??/	CMD_??????	226	0xe2	0xe2	??
MMX??/	CMD_??????	227	0xe3	0xe3	??
MMX??/	CMD_??????	228	0xe4	0xe4	??
MMX??/	CMD_??????	229	0xe5	0xe5	??
MMX??/	CMD_??????	230	0xe6	0xe6	??
MMX??/	CMD_??????	231	0xe7	0xe7	??
MMX??/	CMD_??????	232	0xe8	0xe8	??
MMX??/	CMD_??????	233	0xe9	0xe9	??
MMX??/	CMD_??????	234	0xea	0xea	??
MMX??/	CMD_??????	235	0xeb	0xeb	??
MMX??/	CMD_??????	236	0xec	0xec	??
MMX??/	CMD_??????	237	0xed	0xed	??
MMX??/	CMD_??????	238	0xee	0xee	??
MMX??/	CMD_??????	239	0xef	0xef	??
MMX23/	CMD_READ_OTHER_DEVICES_IDS	240	0xf0	('\xf0')	partial
