666,4/26/14,21:09:00,4/26/14 21:09:00,CalBGForGH,"AMOUNT=137, ORIGIN_TYPE=manual",12896708046,53172605,138,Paradigm 722,,

671,4/26/14,21:20:00,4/26/14 21:20:00,SensorCalFactor,CAL_FACTOR=4.901,12896708042,53172605,134,Paradigm 722,,
690,4/26/14,22:50:00,4/26/14 22:50:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708023,53172605,115,Paradigm 722,,
691,4/26/14,22:50:00,4/26/14 22:50:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708022,53172605,114,Paradigm 722,,
693,4/26/14,23:00:00,4/26/14 23:00:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708019,53172605,111,Paradigm 722,,
694,4/26/14,23:00:00,4/26/14 23:00:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708018,53172605,110,Paradigm 722,,
696,4/26/14,23:05:00,4/26/14 23:05:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708014,53172605,106,Paradigm 722,,
698,4/26/14,23:05:00,4/26/14 23:05:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708016,53172605,108,Paradigm 722,,
699,4/26/14,23:05:00,4/26/14 23:05:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708015,53172605,107,Paradigm 722,,
700,4/26/14,23:05:00,4/26/14 23:05:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708013,53172605,105,Paradigm 722,,
704,4/26/14,23:25:00,4/26/14 23:25:00,SensorTimestamp,TIMESTAMP_TYPE=last_rf,12896708008,53172605,100,Paradigm 722,,
